"","docsequence","docid","docyear","doctype","allsubject","broadsubj","personalevent","wwritten","docauthorid","docauthorname","language","editor","briefname","nationality","birthyear","deathyear","birthplace","deathplace","ageatdeath","nativeoccupation","yearimmigration","stayednorthamerica","agewriting","marriagestatus","maternalstatus","authorgeneration","authorgender","culturalheritage","religion","northamericanoccupation"
"1",23,"S10003-D023",1836,"Letter","Childbirth; Church attendance; Cities; Farms; Homesickness; Motion sickness; Neighbors; Ocean voyages; Steamboats; Travelers; Wagon travel; Health; Religion; Communities; Relationships; Transportation; Entertainment and recreation; Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","Health; Religion; Communities; Relationships; Transportation; Entertainment and recreation",NA,"Baltimore, MD; Maryland; United States; Mid-Atlantic States; Northeast States; East Coast States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",23,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"2",24,"S10003-D024",1836,"Letter","Church services; Farming; Letters and mail; Log cabins; Neighbors; Weather; Religion; Life Styles; Politics; Communities; Relationships; Environment","Religion; Life Styles; Politics; Communities; Relationships; Environment",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",23,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"3",25,"S10003-D025",1837,"Letter","Correspondence; Crops; English language; Living arrangements; Sons; Intellectual life; Agriculture; Domestic life; Relationships","Intellectual life; Agriculture; Domestic life; Relationships",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",24,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"4",26,"S10003-D026",1837,"Letter","American Indians; Construction; Fevers; Floods; Horseback riding; Houses; Neighbors; Pianos; Ethnic groups; Economics; Health; Environment; Entertainment and recreation; Domestic life; Relationships; Intellectual life","Ethnic groups; Economics; Health; Environment; Entertainment and recreation; Domestic life; Relationships; Intellectual life",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",24,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"5",27,"S10003-D027",1838,"Letter","Brothers; Deaths; Farms; Fires; Letters and mail; Neighbors; Physical illnesses; Relationships; Health; Communities; Environment; Politics","Relationships; Health; Communities; Environment; Politics",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",25,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"6",28,"S10003-D028",1838,"Letter","Aunts; Family arguments; Fevers; Parenting; Sisters; Uncles; Relationships; Health","Relationships; Health",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",25,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"7",29,"S10003-D029",1838,"Letter","Brothers; Fevers; Livestock; Militias; Neighbors; Sons; Relationships; Health; Agriculture; Military","Relationships; Health; Agriculture; Military",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",25,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"8",30,"S10003-D030",1839,"Letter","Childbirth; Daughters; Immigration and emigration; Siblings; Towns; Health; Relationships; Domestic life; Communities","Health; Relationships; Domestic life; Communities",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",26,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"9",31,"S10003-D031",1839,"Letter","Alcoholism; Brothers; Cousins; Fevers; Rain; Health; Relationships; Environment; Physical illness of sibling","Health; Relationships; Environment","Physical illness of sibling","Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",26,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"10",32,"S10003-D032",1839,"Letter","Alcoholism; Construction; Correspondence; Cousins; Houses; Physical illnesses; Priests; Towns; Health; Economics; Intellectual life; Relationships; Domestic life; Religion; Communities; Physical illness of other family member","Health; Economics; Intellectual life; Relationships; Domestic life; Religion; Communities","Physical illness of other family member","Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",26,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
